perfume_id,nivel,nota
vulcan-feu,salida,mango
vulcan-feu,salida,lima
vulcan-feu,salida,jengibre
vulcan-feu,salida,ruibarbo
vulcan-feu,corazon,pimientaRosa
vulcan-feu,corazon,jazmin
vulcan-feu,corazon,violeta
vulcan-feu,corazon,praline
vulcan-feu,base,habaTonka
vulcan-feu,base,cedro
vulcan-feu,base,ambarGris
vulcan-feu,base,musgo
asad-bourbon,salida,lavanda
asad-bourbon,salida,ciruelaMirabel
asad-bourbon,salida,pimientaRosa
asad-bourbon,corazon,cacao
asad-bourbon,corazon,nuezMoscada
asad-bourbon,corazon,davana
asad-bourbon,base,vainillaBourbon
asad-bourbon,base,ambar
asad-bourbon,base,vetiver
khamrah-qahwa,salida,canela
khamrah-qahwa,salida,cardamomo
khamrah-qahwa,salida,jengibre
khamrah-qahwa,corazon,praline
khamrah-qahwa,corazon,frutasConfitadas
khamrah-qahwa,corazon,floresBlancas
khamrah-qahwa,base,cafe
khamrah-qahwa,base,vainilla
khamrah-qahwa,base,habaTonka
khamrah-qahwa,base,benjui
khamrah-qahwa,base,almizcle
maahir-legacy,salida,lima
maahir-legacy,salida,menta
maahir-legacy,salida,toronja
maahir-legacy,salida,lavanda
maahir-legacy,salida,pina
maahir-legacy,corazon,bayaEnebro
maahir-legacy,corazon,romero
maahir-legacy,corazon,geranio
maahir-legacy,corazon,pimientaNegra
maahir-legacy,corazon,incienso
maahir-legacy,base,ambroxan
maahir-legacy,base,musgoRoble
maahir-legacy,base,vetiver
maahir-legacy,base,cachemira
maahir-legacy,base,habaTonka
mandarin-sky,salida,mandarina
mandarin-sky,salida,naranja
mandarin-sky,salida,azafran
mandarin-sky,salida,salvia
mandarin-sky,corazon,caramelo
mandarin-sky,corazon,habaTonka
mandarin-sky,corazon,tagete
mandarin-sky,base,ambroxan
mandarin-sky,base,cedro
mandarin-sky,base,vetiver
the-kingdom,salida,lavanda
the-kingdom,salida,menta
the-kingdom,salida,salvia
the-kingdom,corazon,vainilla
the-kingdom,corazon,tabaco
the-kingdom,corazon,azahar
the-kingdom,base,habaTonka
the-kingdom,base,benjui
the-kingdom,base,ladano
rasasi-hawas-ice,salida,cardamomo
rasasi-hawas-ice,salida,pimientaRosa
rasasi-hawas-ice,salida,menta
rasasi-hawas-ice,corazon,notasAcuaticas
rasasi-hawas-ice,corazon,salvia
rasasi-hawas-ice,corazon,pina
rasasi-hawas-ice,base,amberwood
rasasi-hawas-ice,base,vainilla
rasasi-hawas-ice,base,cedro
rayhaan-aquatica,salida,cardamomo
rayhaan-aquatica,salida,neroli
rayhaan-aquatica,salida,mandarina
rayhaan-aquatica,corazon,florNaranjo
rayhaan-aquatica,corazon,rosa
rayhaan-aquatica,base,vainilla
rayhaan-aquatica,base,maderas
rayhaan-aquatica,base,sandalo
rayhaan-aquatica,base,ambar
